team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Ángel Di María,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320,Right Winger,27,Argentina,Man Utd,Premier League,England,63000000,FALSE,NA,Summer,47,47,15,3402
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Layvin Kurzawa,https://www.transfermarkt.com/layvin-kurzawa/profil/spieler/126710,Left-Back,22,France,Monaco,Ligue 1,Monaco,25000000,FALSE,NA,Summer,52,25,3,2009
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Serge Aurier,https://www.transfermarkt.com/serge-aurier/profil/spieler/127032,Right-Back,22,Cote d'Ivoire,Toulouse,Ligue 1,France,10000000,FALSE,NA,Summer,44,33,4,2919
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Kevin Trapp,https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672,Goalkeeper,25,Germany,E. Frankfurt,Bundesliga,Germany,9500000,FALSE,NA,Summer,49,46,0,4095
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Benjamin Stambouli,https://www.transfermarkt.com/benjamin-stambouli/profil/spieler/127160,Defensive Midfield,24,France,Spurs,Premier League,England,8600000,FALSE,NA,Summer,53,39,0,2314
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Alphonse Areola,https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629,Goalkeeper,22,France,SC Bastia,Ligue 1,France,NA,TRUE,"End of loan Jun 30, 2015",Summer,NA,NA,NA,NA
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Youssouf Sabaly,https://www.transfermarkt.com/youssouf-sabaly/profil/spieler/135492,Right-Back,22,Senegal,Thonon Évian,Ligue 1,France,NA,TRUE,"End of loan Jun 30, 2015",Summer,2,0,0,0
Paris Saint-Germain,Ligue 1,France,2015,Arrivals,Presnel Kimpembe,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,Centre-Back,19,France,Paris SG B,National 2 - Grp. A,France,NA,FALSE,-,Summer,20,9,0,695
Paris Saint-Germain,Ligue 1,France,2015,Departures,Yohan Cabaye,https://www.transfermarkt.com/yohan-cabaye/profil/spieler/29434,Central Midfield,29,France,Crystal Palace,Premier League,England,13900000,FALSE,NA,Summer,NA,NA,NA,NA
Paris Saint-Germain,Ligue 1,France,2015,Departures,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,Left-Back,22,France,AS Roma,Serie A,Italy,2500000,TRUE,NA,Summer,1,0,0,0
