team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
FC Barcelona,LaLiga,Spain,2020,Arrivals,Miralem Pjanic,https://www.transfermarkt.com/miralem-pjanic/profil/spieler/44162,Central Midfield,30,Bosnia-Herzegovina,Juventus,Serie A,Italy,60000000,FALSE,NA,Summer,49,30,0,1295
FC Barcelona,LaLiga,Spain,2020,Arrivals,Francisco Trincão,https://www.transfermarkt.com/francisco-trincao/profil/spieler/412669,Right Winger,20,Portugal,SC Braga,Liga Bwin,Portugal,31000000,FALSE,NA,Summer,54,42,3,1309
FC Barcelona,LaLiga,Spain,2020,Arrivals,Sergiño Dest,https://www.transfermarkt.com/sergino-dest/profil/spieler/361104,Right-Back,19,United States,Ajax,Eredivisie,Netherlands,21000000,FALSE,NA,Summer,48,41,3,2745
FC Barcelona,LaLiga,Spain,2020,Arrivals,Philippe Coutinho,https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444,Attacking Midfield,28,Brazil,FC Bayern ,Bundesliga,Germany,NA,TRUE,"End of loan Aug 31, 2020",Summer,16,14,3,792
FC Barcelona,LaLiga,Spain,2020,Arrivals,Carles Aleñá,https://www.transfermarkt.com/carles-alena/profil/spieler/284854,Central Midfield,22,Spain,Real Betis,LaLiga,Spain,NA,TRUE,"End of loan Jul 20, 2020",Summer,22,5,0,170
FC Barcelona,LaLiga,Spain,2020,Arrivals,Marc Cucurella,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,Left-Back,21,Spain,Getafe,LaLiga,Spain,NA,TRUE,"End of loan Jun 30, 2020",Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Arrivals,Rafinha,https://www.transfermarkt.com/rafinha/profil/spieler/129473,Attacking Midfield,27,Brazil,Celta de Vigo,LaLiga,Spain,NA,TRUE,"End of loan Jul 20, 2020",Summer,1,0,0,0
FC Barcelona,LaLiga,Spain,2020,Arrivals,Carles Pérez,https://www.transfermarkt.com/carles-perez/profil/spieler/282810,Right Winger,22,Spain,AS Roma,Serie A,Italy,NA,TRUE,"End of loan Aug 31, 2020",Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Arrivals,Jean-Clair Todibo,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,Centre-Back,20,France,FC Schalke 04,Bundesliga,Germany,NA,TRUE,"End of loan Jun 30, 2020",Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Arrivals,Pedri,https://www.transfermarkt.com/pedri/profil/spieler/683840,Central Midfield,17,Spain,UD Las Palmas,LaLiga2,Spain,NA,TRUE,"End of loan Jun 30, 2020",Summer,53,52,4,3526
FC Barcelona,LaLiga,Spain,2020,Arrivals,Moussa Wagué,https://www.transfermarkt.com/moussa-wague/profil/spieler/364240,Right-Back,21,Senegal,OGC Nice,Ligue 1,France,NA,TRUE,"End of loan Jun 30, 2020",Summer,0,0,0,0
FC Barcelona,LaLiga,Spain,2020,Arrivals,Juan Miranda,https://www.transfermarkt.com/juan-miranda/profil/spieler/341227,Left-Back,20,Spain,FC Schalke 04,Bundesliga,Germany,NA,TRUE,"End of loan Jun 30, 2020",Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Arrivals,Ansu Fati,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,Left Winger,17,Spain,Barcelona B,2ª B - Fase de ascenso,Spain,NA,FALSE,-,Summer,10,10,5,596
FC Barcelona,LaLiga,Spain,2020,Arrivals,Ronald Araújo,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,Centre-Back,21,Uruguay,Barcelona B,2ª B - Fase de ascenso,Spain,NA,FALSE,-,Summer,39,33,2,2231
FC Barcelona,LaLiga,Spain,2020,Arrivals,Riqui Puig,https://www.transfermarkt.com/riqui-puig/profil/spieler/331511,Central Midfield,20,Spain,Barcelona B,2ª B - Fase de ascenso,Spain,NA,FALSE,-,Summer,52,24,1,581
FC Barcelona,LaLiga,Spain,2020,Arrivals,Monchu,https://www.transfermarkt.com/monchu/profil/spieler/282727,Central Midfield,20,Spain,Barcelona B,2ª B - Fase de ascenso,Spain,NA,FALSE,-,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Arthur,https://www.transfermarkt.com/arthur/profil/spieler/362842,Central Midfield,24,Brazil,Juventus,Serie A,Italy,76000000,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Nélson Semedo,https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572,Right-Back,26,Portugal,Wolves,Premier League,England,32000000,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Carles Pérez,https://www.transfermarkt.com/carles-perez/profil/spieler/282810,Right Winger,22,Spain,AS Roma,Serie A,Italy,12500000,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Marc Cucurella,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,Left-Back,21,Spain,Getafe,LaLiga,Spain,11800000,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Luis Suárez,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352,Centre-Forward,33,Uruguay,Atlético Madrid,LaLiga,Spain,7000000,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Ivan Rakitic,https://www.transfermarkt.com/ivan-rakitic/profil/spieler/32467,Central Midfield,32,Croatia,Sevilla FC,LaLiga,Spain,3500000,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Jean-Clair Todibo,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,Centre-Back,20,France,Benfica,Liga Bwin,Portugal,2000000,TRUE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Rafinha,https://www.transfermarkt.com/rafinha/profil/spieler/129473,Attacking Midfield,27,Brazil,Paris SG,Ligue 1,France,1500000,FALSE,NA,Summer,1,0,0,0
FC Barcelona,LaLiga,Spain,2020,Departures,Moussa Wagué,https://www.transfermarkt.com/moussa-wague/profil/spieler/364240,Right-Back,21,Senegal,PAOK Salonika,Super League 1,Greece,NA,TRUE,loan transfer,Summer,0,0,0,0
FC Barcelona,LaLiga,Spain,2020,Departures,Arturo Vidal,https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666,Central Midfield,33,Chile,Inter,Serie A,Italy,0,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Arda Turan,https://www.transfermarkt.com/arda-turan/profil/spieler/21369,Left Winger,33,Turkey,Galatasaray,Süper Lig,Turkey,0,FALSE,NA,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Juan Miranda,https://www.transfermarkt.com/juan-miranda/profil/spieler/341227,Left-Back,20,Spain,Real Betis,LaLiga,Spain,NA,TRUE,loan transfer,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Departures,Monchu,https://www.transfermarkt.com/monchu/profil/spieler/282727,Central Midfield,21,Spain,Girona,LaLiga2,Spain,NA,TRUE,loan transfer,Summer,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Arrivals,Jean-Clair Todibo,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,Centre-Back,21,France,Benfica,Liga Bwin,Portugal,NA,TRUE,"End of loan Jan 31, 2021",Winter,NA,NA,NA,NA
FC Barcelona,LaLiga,Spain,2020,Arrivals,Moussa Wagué,https://www.transfermarkt.com/moussa-wague/profil/spieler/364240,Right-Back,22,Senegal,PAOK Salonika,Super League 1,Greece,NA,TRUE,"End of loan Dec 31, 2020",Winter,0,0,0,0
FC Barcelona,LaLiga,Spain,2020,Arrivals,Óscar Mingueza,https://www.transfermarkt.com/oscar-mingueza/profil/spieler/331505,Centre-Back,21,Spain,Barcelona B,2ª B - Fase de ascenso,Spain,NA,FALSE,-,Winter,46,39,2,2796
FC Barcelona,LaLiga,Spain,2020,Departures,Carles Aleñá,https://www.transfermarkt.com/carles-alena/profil/spieler/284854,Central Midfield,23,Spain,Getafe,LaLiga,Spain,NA,TRUE,loan transfer,Winter,22,5,0,170
FC Barcelona,LaLiga,Spain,2020,Departures,Jean-Clair Todibo,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,Centre-Back,21,France,OGC Nice,Ligue 1,France,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
Real Madrid,LaLiga,Spain,2020,Arrivals,Achraf Hakimi,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,Right-Back,21,Morocco,Bor. Dortmund,Bundesliga,Germany,NA,TRUE,"End of loan Jun 30, 2020",Summer,NA,NA,NA,NA
Real Madrid,LaLiga,Spain,2020,Arrivals,Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,Attacking Midfield,21,Norway,Real Sociedad,LaLiga,Spain,NA,TRUE,"End of loan Jul 20, 2020",Summer,16,9,0,367
Real Madrid,LaLiga,Spain,2020,Arrivals,Sergio Reguilón,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429,Left-Back,23,Spain,Sevilla FC,LaLiga,Spain,NA,TRUE,"End of loan Aug 22, 2020",Summer,NA,NA,NA,NA
